City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
268,268,Morro Bay,US,35.37,-120.85,98.01,26,5,3.0,clear sky,0.0,0
269,269,Ribeira Brava,PT,32.65,-17.07,72.0,91,3,4.92,clear sky,0.0,0
270,270,Chuy,UY,-33.7,-53.46,52.03,84,89,8.3,overcast clouds,0.0,0
271,271,Ihosy,MG,-22.4,46.12,59.72,85,94,5.61,overcast clouds,0.0,0
272,272,Ruteng,ID,-8.61,120.47,59.47,96,32,1.45,scattered clouds,0.0,0
273,273,Celestun,MX,20.87,-90.4,88.47,65,94,17.87,overcast clouds,0.0,0
274,274,Isangel,VU,-19.55,169.27,69.8,88,75,5.82,broken clouds,0.0,0
275,275,Sur,OM,22.57,59.53,89.94,55,99,11.18,overcast clouds,0.0,0
276,276,Geraldton,AU,-28.77,114.6,53.6,50,0,21.92,clear sky,0.0,0
277,277,Malanje,AO,-9.54,16.34,64.74,61,10,5.14,clear sky,0.0,0
278,278,Cairns,AU,-16.92,145.77,69.8,88,100,10.29,overcast clouds,0.0,0
279,279,Rumonge,BI,-3.97,29.44,72.57,65,2,2.91,light rain,0.13,0
280,280,Rosario Do Sul,BR,-30.26,-54.91,55.99,78,1,5.12,clear sky,0.0,0
281,281,Santa Cruz,BO,-17.8,-63.17,79.12,54,1,17.98,clear sky,0.0,0
282,282,Kijang,KR,35.24,129.21,73.4,88,75,1.12,mist,0.0,0
283,283,Cascas,PE,-7.48,-78.82,60.8,59,90,3.36,overcast clouds,0.0,0
284,284,Suixi,CN,33.89,116.77,74.39,79,100,7.54,overcast clouds,0.0,0
285,285,Seredka,RU,58.16,28.19,60.8,93,75,4.47,broken clouds,0.0,0
286,286,Lompoc,US,34.64,-120.46,75.0,60,0,13.87,clear sky,0.0,0
287,287,Fort Atkinson,US,42.93,-88.84,82.99,54,51,7.0,broken clouds,0.0,0
288,288,Longyearbyen,SJ,78.22,15.64,46.4,87,75,9.17,light intensity drizzle,0.0,0
289,289,Cubuk,TR,40.24,33.03,69.01,49,0,8.05,clear sky,0.0,0
290,290,Halifax,CA,44.65,-63.57,84.0,61,40,11.41,scattered clouds,0.0,0
291,291,Belyy Yar,RU,53.6,91.39,55.4,93,77,2.24,broken clouds,0.0,0
292,292,Ndungu,TZ,-4.37,38.05,68.97,82,53,1.41,broken clouds,0.0,0
293,293,Mehamn,NO,71.04,27.85,46.4,87,90,11.41,overcast clouds,0.0,0
294,294,Russellville,US,35.28,-93.13,91.0,59,75,5.82,broken clouds,0.0,0
295,295,That Phanom,TH,16.94,104.71,78.62,84,100,5.75,overcast clouds,0.0,0
